Coefficient,Value
C0,-1.1472222222222221
C1,0.38333333333333336
C2,-0.9555555555555556
C3,0.0
C4,-1.0444444444444445
C5,0.38333333333333336
C6,-0.8527777777777777
C7,0.0
C0,-61.56294810956789
C1,36.62989801526062
C2,-7.874080287208503
C3,0.7333475814471877
C4,-0.025013660836762684
C5,125.76654610339507
C6,-76.88066754543897
C7,16.925239090363515
C8,-1.5995227837791497
C9,0.05518497085048012
C10,-61.36433699845678
C11,36.56218968192729
C12,-7.856382756344305
C13,0.7313269024348421
C14,-0.024929092935528117
C15,125.96515721450619
C16,-76.9410692876417
C17,16.939141913264386
C18,-1.6009023705418384
C19,0.0552346558912714
C0,-0.9708333333333333
C1,0.0
C2,-1.1395833333333334
C3,0.3375
C4,-0.8604166666666667
C5,0.0
C6,-1.0291666666666666
C7,0.3375
C0,6.609233681948224
C1,-3.6270379015575736
C2,0.5412071187892425
C3,-0.023800443817798028
C4,-8.289913916491267
C5,3.741285107089278
C6,-0.503474372856759
C7,0.021746114953044158
C8,6.712379328632171
C9,-3.6238934310353046
C10,0.5408218529782612
C11,-0.023791001316630773
C12,-8.18676826980732
C13,3.7440560666894975
C14,-0.5037102342989205
C15,0.021740617017329437
